city,date,AQI,airQuality,rank,PM2\.5,PM10,So2,No2,Co,O3
深圳,2025-02-01,优,37,63,15,22,15,6,0.52,53
深圳,2025-02-02,优,34,69,11,18,12,6,0.51,60
深圳,2025-02-03,优,30,45,4,9,5,5,0.65,45
深圳,2025-02-04,优,33,27,9,15,7,5,0.57,58
深圳,2025-02-05,优,41,95,22,34,14,6,0.57,68
深圳,2025-02-06,优,43,89,24,38,16,6,0.57,71
深圳,2025-02-07,优,31,47,12,21,7,6,0.55,55
深圳,2025-02-08,优,50,221,15,51,7,6,0.43,75
深圳,2025-02-09,优,46,143,14,43,10,5,0.43,83
深圳,2025-02-10,良,57,167,19,43,18,6,0.50,93
深圳,2025-02-11,良,51,75,15,29,18,6,0.50,85
深圳,2025-02-12,优,32,5,16,24,20,6,0.59,46
深圳,2025-02-13,优,46,56,29,46,17,6,0.67,59
深圳,2025-02-14,优,40,33,28,39,17,6,0.70,61
深圳,2025-02-15,优,40,28,19,27,25,6,0.65,61
深圳,2025-02-16,良,51,109,33,50,35,6,0.73,68
深圳,2025-02-17,良,52,147,28,43,17,6,0.73,88
深圳,2025-02-18,良,81,298,36,74,20,7,0.69,125
深圳,2025-02-19,良,58,199,17,38,14,6,0.55,94
深圳,2025-02-20,良,55,189,17,37,15,6,0.54,94
深圳,2025-02-21,优,46,156,23,42,19,6,0.63,74
深圳,2025-02-22,优,40,113,19,40,21,6,0.58,67
深圳,2025-02-23,优,24,23,9,16,15,6,0.66,36
深圳,2025-02-24,优,36,40,13,24,15,5,0.61,65
深圳,2025-02-25,良,52,89,30,54,26,6,0.70,75
深圳,2025-02-26,优,48,84,33,48,30,5,0.76,47
深圳,2025-02-27,优,46,58,19,33,26,6,0.63,77
深圳,2025-02-28,优,41,24,18,31,25,5,0.62,60
深圳,2025-03-01,优,33,2,17,33,23,6,0.60,51
深圳,2025-03-02,优,32,7,11,27,14,5,0.55,54
深圳,2025-03-03,优,26,11,9,20,21,6,0.56,37
深圳,2025-03-04,优,36,88,12,23,29,6,0.59,21
深圳,2025-03-05,优,29,46,9,20,23,5,0.80,8
深圳,2025-03-06,优,20,16,4,11,16,5,0.76,25
深圳,2025-03-07,优,21,7,10,18,17,5,0.71,26
深圳,2025-03-08,优,32,23,19,30,22,6,0.70,51
深圳,2025-03-09,良,58,120,18,35,21,6,0.61,95
深圳,2025-03-10,良,57,117,19,38,23,6,0.60,91
深圳,2025-03-11,优,44,38,20,40,28,6,0.62,66
深圳,2025-03-12,优,31,8,13,28,25,6,0.56,48
深圳,2025-03-13,优,30,16,15,30,23,6,0.52,37
深圳,2025-03-14,优,26,22,14,24,21,6,0.53,46
深圳,2025-03-15,优,33,58,10,19,18,6,0.65,50
深圳,2025-03-16,优,34,34,3,12,9,6,0.60,63
深圳,2025-03-17,良,51,208,24,52,16,6,0.53,81
深圳,2025-03-18,优,46,102,22,40,25,6,0.54,71
深圳,2025-03-19,良,56,194,28,51,36,7,0.55,84
深圳,2025-03-20,良,87,303,26,49,28,7,0.50,118
深圳,2025-03-21,良,100,316,29,53,29,7,0.54,127
深圳,2025-03-22,良,98,304,28,52,35,7,0.55,118
深圳,2025-03-23,良,78,162,28,52,42,7,0.56,99
深圳,2025-03-24,良,76,177,30,54,44,7,0.61,90
深圳,2025-03-25,良,68,110,26,52,42,7,0.60,86
深圳,2025-03-26,优,45,20,17,36,24,6,0.52,65
深圳,2025-03-27,优,30,2,14,28,17,6,0.50,45
深圳,2025-03-28,优,30,5,17,30,19,6,0.51,25
深圳,2025-03-29,优,22,10,4,11,14,6,0.60,34
深圳,2025-03-30,优,18,5,2,6,14,5,0.51,28
深圳,2025-03-31,优,21,15,3,9,17,5,0.57,20
深圳,2025-04-01,优,28,12,14,24,16,6,0.57,48
深圳,2025-04-02,优,42,21,14,26,20,6,0.56,64
深圳,2025-04-03,良,68,177,21,40,31,7,0.59,94
深圳,2025-04-04,良,68,129,17,47,18,7,0.54,105
深圳,2025-04-05,优,46,34,17,31,16,6,0.64,68
深圳,2025-04-06,优,49,50,28,49,29,6,0.71,49
深圳,2025-04-07,良,55,53,28,55,27,6,0.67,96
深圳,2025-04-08,良,73,160,31,61,30,7,0.70,96
深圳,2025-04-09,优,46,8,21,43,27,7,0.65,65
深圳,2025-04-10,优,36,3,17,31,24,6,0.63,49
深圳,2025-04-11,优,30,3,15,28,24,6,0.63,29
深圳,2025-04-12,优,32,6,15,32,11,6,0.55,37
深圳,2025-04-13,中度污染,171,277,73,292,15,6,0.43,81
深圳,2025-04-14,中度污染,166,315,86,281,54,8,0.65,78
深圳,2025-04-15,轻度污染,116,306,62,181,47,7,0.68,109
深圳,2025-04-16,良,88,215,35,117,16,6,0.58,124
深圳,2025-04-17,良,62,62,22,73,13,6,0.57,81
深圳,2025-04-18,良,51,53,20,52,20,6,0.61,38
深圳,2025-04-19,优,27,4,15,27,13,6,0.59,27
深圳,2025-04-20,优,24,2,15,24,12,6,0.50,33
深圳,2025-04-21,优,24,5,14,24,12,6,0.50,29
深圳,2025-04-22,优,26,3,15,26,11,6,0.50,34
深圳,2025-04-23,优,28,5,15,26,13,6,0.49,40
深圳,2025-04-24,优,27,5,10,20,12,6,0.50,44
深圳,2025-04-25,优,34,19,12,23,24,6,0.61,45
深圳,2025-04-26,优,49,97,8,18,9,6,0.61,97
深圳,2025-04-27,优,48,121,16,29,11,6,0.61,85
深圳,2025-04-28,良,52,131,21,34,22,6,0.71,68
深圳,2025-04-29,良,76,207,15,32,14,7,0.64,122
深圳,2025-04-30,轻度污染,101,274,23,45,16,6,0.62,135
深圳,2025-05-01,优,42,35,22,41,20,6,0.67,68
深圳,2025-05-02,良,59,129,26,41,16,7,0.69,92
深圳,2025-05-03,良,85,276,28,43,12,6,0.71,118
深圳,2025-05-04,优,38,33,15,25,11,6,0.62,53
深圳,2025-05-05,优,34,21,13,27,9,6,0.59,58
深圳,2025-05-06,优,26,4,11,23,21,7,0.63,22
深圳,2025-05-07,优,26,10,11,21,21,6,0.65,27
深圳,2025-05-08,优,44,57,18,43,8,6,0.60,76
深圳,2025-05-09,优,38,27,12,29,21,6,0.63,53
深圳,2025-05-10,优,44,45,17,34,21,7,0.68,62
深圳,2025-05-11,良,60,142,13,30,12,7,0.55,99
深圳,2025-05-12,良,79,185,19,37,21,7,0.58,108
深圳,2025-05-13,良,89,199,19,36,13,7,0.60,130
深圳,2025-05-14,良,62,107,12,25,9,6,0.56,97
深圳,2025-05-15,优,39,25,8,19,9,6,0.52,66
深圳,2025-05-16,优,28,13,5,15,10,7,0.50,44
深圳,2025-05-17,优,25,15,6,17,15,7,0.50,35
深圳,2025-05-18,优,22,12,8,16,17,7,0.50,28
深圳,2025-05-19,优,20,3,9,18,16,7,0.51,27
深圳,2025-05-20,优,20,2,7,16,12,7,0.50,32
深圳,2025-05-21,优,23,6,11,20,11,7,0.50,35
深圳,2025-05-22,优,26,13,9,18,12,7,0.50,36
深圳,2025-05-23,优,24,6,9,21,12,6,0.50,38
深圳,2025-05-24,优,38,35,11,23,17,6,0.65,57
深圳,2025-05-25,优,46,58,28,46,12,7,0.70,86
深圳,2025-05-26,良,65,134,20,34,14,7,0.63,98
深圳,2025-05-27,良,78,187,24,40,13,7,0.66,119
深圳,2025-05-28,良,58,134,14,30,11,6,0.60,95
深圳,2025-05-29,优,32,40,14,24,16,6,0.68,47
深圳,2025-05-30,优,42,78,5,13,9,6,0.57,83
深圳,2025-05-31,良,54,145,14,25,8,6,0.55,96
深圳,2025-06-01,优,46,115,17,26,9,6,0.60,76
深圳,2025-06-02,优,33,49,11,25,13,6,0.55,44
深圳,2025-06-03,优,32,25,8,20,16,6,0.65,48
深圳,2025-06-04,优,27,3,8,18,19,6,0.79,38
深圳,2025-06-05,良,56,118,13,25,11,6,0.63,97
深圳,2025-06-06,良,58,125,12,24,12,7,0.60,93
深圳,2025-06-07,优,45,111,10,19,13,7,0.60,66
深圳,2025-06-08,优,34,31,6,12,11,7,0.58,45
深圳,2025-06-09,优,32,17,8,15,15,7,0.58,42
深圳,2025-06-10,优,30,26,4,12,11,7,0.54,37
深圳,2025-06-11,优,21,1,4,13,7,7,0.51,31
深圳,2025-06-12,优,26,5,5,14,7,6,0.55,41
深圳,2025-06-13,优,24,7,5,14,11,6,0.58,34
深圳,2025-06-14,优,26,32,10,26,6,7,0.57,43
深圳,2025-06-15,优,30,21,12,30,8,6,0.60,42
深圳,2025-06-16,优,24,6,9,24,11,7,0.60,35
深圳,2025-06-17,优,20,13,7,17,16,7,0.60,19
深圳,2025-06-18,优,16,4,5,14,9,6,0.55,29
深圳,2025-06-19,优,22,67,5,12,8,6,0.51,32
深圳,2025-06-20,优,17,9,4,12,10,6,0.53,25
深圳,2025-06-21,优,16,3,5,14,10,6,0.54,20
深圳,2025-06-22,优,16,1,5,16,10,6,0.53,23
深圳,2025-06-23,优,20,5,4,13,11,7,0.51,31
深圳,2025-06-24,优,26,27,4,13,11,7,0.50,38
深圳,2025-06-25,优,27,27,5,12,10,7,0.48,41
深圳,2025-06-26,优,23,15,3,12,7,6,0.53,37
深圳,2025-06-27,优,20,5,4,14,10,7,0.54,30
深圳,2025-06-28,优,20,4,3,12,9,7,0.56,32
深圳,2025-06-29,优,24,19,5,12,9,7,0.58,36
深圳,2025-06-30,优,20,4,4,10,8,7,0.57,32
深圳,2025-07-01,优,16,2,4,12,10,7,0.60,22
深圳,2025-07-02,优,18,3,7,17,9,7,0.57,30
深圳,2025-07-03,优,37,100,12,23,15,7,0.60,52
深圳,2025-07-04,优,46,125,15,27,12,7,0.60,71
深圳,2025-07-05,良,57,161,14,27,13,7,0.63,67
深圳,2025-07-06,良,65,189,13,24,14,7,0.62,86
深圳,2025-07-07,良,89,269,24,36,16,7,0.71,100
深圳,2025-07-08,优,42,93,6,14,12,7,0.60,54
深圳,2025-07-09,优,48,178,13,26,13,7,0.60,72
深圳,2025-07-10,优,37,71,9,19,21,6,0.68,49
深圳,2025-07-11,优,31,45,11,18,22,6,0.72,48
深圳,2025-07-12,优,28,25,11,22,22,6,0.68,29
深圳,2025-07-13,优,31,29,14,31,14,6,0.63,34
深圳,2025-07-14,优,30,18,12,27,16,6,0.60,40
深圳,2025-07-15,优,33,34,11,24,16,6,0.60,45
深圳,2025-07-16,优,32,24,13,26,13,6,0.60,48
深圳,2025-07-17,优,44,97,17,33,17,6,0.63,67
深圳,2025-07-18,优,40,44,15,29,29,6,0.72,42
深圳,2025-07-19,优,38,56,19,31,15,6,0.69,56
深圳,2025-07-20,优,25,29,2,9,5,6,0.60,41
深圳,2025-07-21,优,32,66,5,13,10,6,0.65,56
深圳,2025-07-22,优,26,65,8,19,9,6,0.60,44
深圳,2025-07-23,优,31,119,7,16,12,6,0.61,42
深圳,2025-07-24,优,48,262,16,30,22,7,0.68,66
深圳,2025-07-25,良,92,329,22,34,24,7,0.68,103
深圳,2025-07-26,轻度污染,107,329,23,37,29,7,0.70,106
深圳,2025-07-27,良,75,312,20,33,18,7,0.75,82
深圳,2025-07-28,优,50,229,16,29,20,7,0.70,66
深圳,2025-07-29,优,39,118,18,30,28,6,0.72,47
深圳,2025-07-30,优,44,135,21,34,20,7,0.76,64
深圳,2025-07-31,优,42,121,11,22,20,6,0.67,60
深圳,2025-08-01,优,44,104,13,25,19,6,0.67,55
深圳,2025-08-02,优,24,6,10,24,18,6,0.63,25
深圳,2025-08-03,优,31,45,14,31,14,6,0.67,36
深圳,2025-08-04,优,30,39,13,30,20,6,0.70,35
深圳,2025-08-05,优,26,21,7,15,17,7,0.67,41
深圳,2025-08-06,优,22,10,10,21,18,7,0.68,25
深圳,2025-08-07,优,28,59,13,28,18,7,0.64,31
深圳,2025-08-08,优,45,181,19,35,20,7,0.63,65
深圳,2025-08-09,优,46,201,14,27,20,7,0.60,56
深圳,2025-08-10,优,34,70,5,14,10,7,0.50,47
深圳,2025-08-11,优,28,45,6,17,15,7,0.57,36
深圳,2025-08-12,优,29,25,8,19,15,7,0.55,39
深圳,2025-08-13,优,46,136,13,28,18,7,0.58,66
深圳,2025-08-14,优,28,39,6,17,15,7,0.59,35
深圳,2025-08-15,优,19,8,4,13,8,7,0.52,31
深圳,2025-08-16,优,33,88,9,23,9,7,0.51,55
深圳,2025-08-17,优,33,86,6,17,8,7,0.51,43
深圳,2025-08-18,优,18,3,3,11,10,7,0.57,30
深圳,2025-08-19,优,21,17,6,16,17,7,0.65,21
深圳,2025-08-20,优,19,7,8,19,14,6,0.62,24
深圳,2025-08-21,优,21,17,8,18,15,6,0.60,28
深圳,2025-08-22,优,31,89,10,22,25,7,0.60,42
深圳,2025-08-23,优,43,166,12,27,22,7,0.63,45
深圳,2025-08-24,优,20,7,6,19,6,7,0.55,33
深圳,2025-08-25,优,21,20,4,15,7,6,0.55,30
深圳,2025-08-26,优,36,118,11,23,16,7,0.59,54
深圳,2025-08-27,优,40,130,9,19,15,6,0.56,52
深圳,2025-08-28,优,36,98,10,22,16,7,0.57,51
深圳,2025-08-29,优,30,58,7,19,7,7,0.51,46
深圳,2025-08-30,优,27,35,6,18,6,6,0.52,47
深圳,2025-08-31,优,24,18,3,12,8,6,0.50,37
深圳,2025-09-01,优,26,16,5,14,11,6,0.52,41
深圳,2025-09-02,优,25,18,4,13,10,7,0.52,36
深圳,2025-09-03,优,23,18,6,14,12,7,0.50,34
深圳,2025-09-04,优,26,23,7,14,12,6,0.51,40
深圳,2025-09-05,优,26,20,5,13,14,7,0.50,36
深圳,2025-09-06,优,43,138,12,22,14,7,0.57,73
深圳,2025-09-07,优,36,66,4,13,6,7,0.55,47
深圳,2025-09-08,优,28,49,3,13,4,7,0.56,52
深圳,2025-09-09,优,22,17,7,19,11,7,0.61,31
深圳,2025-09-10,优,21,10,7,18,17,7,0.64,24
深圳,2025-09-11,优,24,33,9,19,19,7,0.63,33
深圳,2025-09-12,优,24,38,6,14,16,6,0.57,32
深圳,2025-09-13,优,25,27,5,13,14,6,0.57,37
深圳,2025-09-14,优,28,41,5,13,15,7,0.55,41
深圳,2025-09-15,优,34,87,5,15,13,6,0.58,42
深圳,2025-09-16,优,25,23,7,19,9,6,0.58,45
深圳,2025-09-17,优,42,237,13,26,19,7,0.63,51
深圳,2025-09-18,优,34,166,11,24,20,6,0.60,41
深圳,2025-09-19,优,20,21,6,15,13,6,0.55,27
深圳,2025-09-20,优,20,18,8,16,16,6,0.64,26
深圳,2025-09-21,优,18,7,4,10,11,6,0.57,28
深圳,2025-09-22,优,30,89,14,24,16,6,0.67,45
深圳,2025-09-23,优,34,143,12,22,8,7,0.65,50
深圳,2025-09-24,优,27,79,3,10,2,6,0.57,52
深圳,2025-09-25,优,30,77,7,18,4,7,0.59,51
深圳,2025-09-26,优,36,136,12,24,13,7,0.61,58
深圳,2025-09-27,优,36,138,8,21,12,7,0.60,56
深圳,2025-09-28,优,35,127,8,23,11,7,0.64,56
深圳,2025-09-29,优,23,27,6,16,12,7,0.60,33
深圳,2025-09-30,优,36,96,12,25,29,7,0.63,39
深圳,2025-10-01,优,34,78,10,20,27,7,0.62,40
深圳,2025-10-02,优,31,64,6,14,10,7,0.60,48
深圳,2025-10-03,优,32,92,7,15,14,7,0.59,41
深圳,2025-10-04,优,36,133,11,25,17,7,0.65,44
深圳,2025-10-05,优,21,19,6,20,4,7,0.55,38
深圳,2025-10-06,优,24,52,6,14,5,7,0.58,41
深圳,2025-10-07,优,44,238,14,23,13,7,0.62,63
深圳,2025-10-08,良,54,273,15,27,13,7,0.63,77
深圳,2025-10-09,良,53,251,18,30,10,6,0.68,83
深圳,2025-10-10,良,56,253,15,29,12,7,0.70,89
深圳,2025-10-11,优,48,207,10,23,10,9,0.64,76
深圳,2025-10-12,优,29,82,5,14,8,6,0.61,39
深圳,2025-10-13,优,20,6,5,13,10,7,0.61,28
深圳,2025-10-14,优,20,8,5,13,10,7,0.58,27
深圳,2025-10-15,优,32,76,10,21,15,7,0.61,54
深圳,2025-10-16,优,44,197,14,27,13,7,0.63,76
深圳,2025-10-17,优,48,254,19,34,14,7,0.62,77
深圳,2025-10-18,良,62,308,20,34,14,7,0.66,87
深圳,2025-10-19,优,47,269,20,33,12,8,0.74,68
深圳,2025-10-20,优,36,218,10,20,10,7,0.74,51
深圳,2025-10-21,优,22,37,2,10,11,7,0.68,39
深圳,2025-10-22,优,22,30,3,11,12,7,0.58,38
深圳,2025-10-23,优,30,61,13,24,12,7,0.59,55
深圳,2025-10-24,优,42,115,21,37,14,8,0.59,72
深圳,2025-10-25,良,52,166,22,36,15,8,0.62,85
深圳,2025-10-26,良,52,182,25,41,15,8,0.63,89
深圳,2025-10-27,良,55,192,39,57,18,8,0.74,83
深圳,2025-10-28,良,51,108,36,47,24,7,0.82,55
深圳,2025-10-29,优,40,59,28,38,18,7,0.75,63
深圳,2025-10-30,良,57,202,22,41,23,8,0.67,81
深圳,2025-10-31,优,42,134,21,35,17,7,0.70,60
深圳,2025-11-01,优,42,120,21,34,15,7,0.81,69
深圳,2025-11-02,优,44,149,25,40,16,8,0.76,68
深圳,2025-11-03,优,40,115,23,40,15,8,0.69,64
深圳,2025-11-04,优,28,54,15,24,17,7,0.70,43
深圳,2025-11-05,优,38,113,8,18,15,7,0.65,60
深圳,2025-11-06,优,29,70,12,23,18,7,0.69,28
深圳,2025-11-07,优,40,151,13,34,15,7,0.57,73
深圳,2025-11-08,优,44,164,15,31,12,7,0.60,74
深圳,2025-11-09,优,42,161,18,32,20,7,0.71,57
深圳,2025-11-10,优,34,114,9,20,10,7,0.73,54
深圳,2025-11-11,优,27,43,9,22,13,7,0.70,46
深圳,2025-11-12,优,38,96,13,25,12,7,0.68,67
深圳,2025-11-13,优,36,86,8,17,12,7,0.61,61
深圳,2025-11-14,优,40,71,15,27,19,7,0.67,58
深圳,2025-11-15,良,51,108,23,44,27,8,0.72,78
深圳,2025-11-16,良,78,268,24,49,21,8,0.68,105
深圳,2025-11-17,良,65,317,22,42,21,8,0.68,85
深圳,2025-11-18,优,48,261,25,46,13,8,0.67,76
深圳,2025-11-19,优,31,84,8,24,13,7,0.51,58
深圳,2025-11-20,优,34,55,14,34,19,8,0.53,60
深圳,2025-11-21,优,45,105,18,37,22,8,0.54,75
深圳,2025-11-22,良,61,147,24,44,27,8,0.64,87
深圳,2025-11-23,良,66,147,36,63,46,8,0.77,79
深圳,2025-11-24,良,64,150,33,58,38,9,0.70,82
深圳,2025-11-25,良,63,196,23,49,15,9,0.54,103
深圳,2025-11-26,良,62,117,30,73,25,8,0.59,91
深圳,2025-11-27,良,54,119,20,57,19,8,0.49,77
深圳,2025-11-28,良,60,108,25,71,27,7,0.56,81
深圳,2025-11-29,良,64,131,34,77,45,8,0.66,78
深圳,2025-11-30,良,63,141,33,76,31,7,0.71,77
深圳,2025-12-01,优,44,84,25,39,35,7,0.74,46
深圳,2025-12-02,优,46,127,14,29,24,7,0.70,70
深圳,2025-12-03,良,52,137,32,52,17,8,0.75,89
深圳,2025-12-04,良,68,255,49,77,24,7,0.82,91
深圳,2025-12-05,良,72,227,39,64,27,8,0.78,102
深圳,2025-12-06,良,71,164,36,60,31,8,0.77,86
深圳,2025-12-07,良,58,108,37,56,35,8,0.83,74
深圳,2025-12-08,良,52,117,34,53,34,8,0.82,68
深圳,2025-12-09,良,64,144,33,54,27,8,0.76,96
深圳,2025-12-10,良,52,86,32,55,29,7,0.75,66
深圳,2025-12-11,良,52,103,37,53,41,7,0.78,70
深圳,2025-12-12,良,71,225,23,43,15,8,0.65,114
深圳,2025-12-13,良,54,196,24,45,18,7,0.77,71
深圳,2025-12-14,优,37,52,10,37,16,7,0.62,60
深圳,2025-12-15,优,44,52,19,44,24,7,0.62,69
深圳,2025-12-16,良,66,174,35,66,46,8,0.76,86
深圳,2025-12-17,良,62,135,31,56,50,7,0.82,61
深圳,2025-12-18,优,50,50,26,50,28,8,0.70,82
深圳,2025-12-19,良,58,99,28,44,22,7,0.72,81
深圳,2025-12-20,优,36,52,16,29,28,7,0.67,46
深圳,2025-12-21,优,50,161,28,50,30,7,0.76,64
深圳,2025-12-22,良,56,193,39,63,17,7,0.81,86
深圳,2025-12-23,优,40,70,20,38,30,7,0.68,55
深圳,2025-12-24,良,61,205,27,44,49,7,0.76,33
深圳,2025-12-25,优,29,45,14,26,23,7,0.78,38
深圳,2025-12-26,优,36,56,20,36,21,7,0.65,44
深圳,2025-12-27,优,47,83,29,47,34,7,0.78,50
深圳,2025-12-28,良,55,96,31,52,44,7,0.80,60
深圳,2025-12-29,良,61,152,34,54,49,7,0.79,60
深圳,2025-12-30,良,69,173,46,68,55,8,0.85,63
深圳,2025-12-31,优,46,145,20,37,28,7,0.63,75
成都,2025-01-01,轻度污染,128,278,97,121,51,3,0.87,49
成都,2025-01-02,轻度污染,112,252,85,110,53,3,0.91,40
成都,2025-01-03,轻度污染,138,270,105,133,54,3,1.04,44
成都,2025-01-04,轻度污染,135,258,103,128,47,3,0.87,37
成都,2025-01-05,良,85,167,63,80,37,3,0.73,42
成都,2025-01-06,良,85,230,63,81,40,2,0.73,29
成都,2025-01-07,良,61,164,44,58,29,2,0.59,34
成都,2025-01-08,优,47,101,30,47,29,2,0.53,45
成都,2025-01-09,良,54,183,38,56,34,2,0.57,39
成都,2025-01-10,良,55,179,39,49,26,2,0.58,31
成都,2025-01-11,优,40,35,25,40,27,2,0.53,51
成都,2025-01-12,良,74,212,54,77,47,3,0.76,25
成都,2025-01-13,良,91,236,68,91,39,2,0.75,39
成都,2025-01-14,良,66,159,48,63,33,2,0.60,46
成都,2025-01-15,良,64,215,46,62,31,2,0.53,41
成都,2025-01-16,良,69,241,50,67,33,2,0.60,24
成都,2025-01-17,良,86,268,64,84,45,2,0.70,14
成都,2025-01-18,良,56,70,40,57,28,2,0.61,48
成都,2025-01-19,良,72,144,53,68,32,2,0.73,50
成都,2025-01-20,良,86,171,64,80,35,3,0.78,54
成都,2025-01-21,轻度污染,120,225,91,112,46,2,0.92,39
成都,2025-01-22,中度污染,159,274,121,148,45,3,0.99,22
成都,2025-01-23,重度污染,207,297,157,184,47,3,1.20,8
成都,2025-01-24,良,90,201,67,78,24,2,0.95,26
成都,2025-01-25,优,36,48,25,32,16,2,0.85,60
成都,2025-01-26,良,66,205,26,82,16,3,0.52,58
成都,2025-01-27,良,74,293,40,99,21,3,0.50,42
成都,2025-01-28,良,75,254,55,94,18,3,0.57,49
成都,2025-01-29,重度污染,225,277,175,212,24,4,0.66,52
成都,2025-01-30,良,96,224,72,105,17,3,0.62,50
成都,2025-01-31,良,59,153,42,52,13,2,0.59,38
成都,2025-02-01,优,34,46,24,31,15,2,0.55,37
成都,2025-02-02,优,43,110,30,36,15,3,0.59,37
成都,2025-02-03,优,39,111,27,38,16,2,0.53,48
成都,2025-02-04,优,49,187,31,49,22,3,0.53,44
成都,2025-02-05,优,39,65,26,39,14,3,0.53,48
成都,2025-02-06,优,31,19,18,30,13,2,0.42,52
成都,2025-02-07,优,36,87,24,36,19,3,0.50,37
成都,2025-02-08,优,28,11,17,24,17,3,0.48,43
成都,2025-02-09,优,36,30,25,36,23,3,0.53,31
成都,2025-02-10,优,49,80,34,49,25,2,0.61,36
成都,2025-02-11,良,70,167,51,73,37,3,0.66,32
成都,2025-02-12,良,62,135,28,73,18,3,0.43,59
成都,2025-02-13,良,57,131,24,64,18,3,0.43,49
成都,2025-02-14,良,54,104,29,57,25,3,0.50,41
成都,2025-02-15,优,40,30,25,40,26,3,0.55,45
成都,2025-02-16,良,55,140,39,55,29,3,0.64,45
成都,2025-02-17,良,55,168,39,55,30,4,0.63,44
成都,2025-02-18,良,61,227,44,56,28,3,0.65,24
成都,2025-02-19,优,44,93,31,43,25,3,0.58,39
成都,2025-02-20,优,50,147,35,45,25,3,0.61,34
成都,2025-02-21,优,40,102,28,38,27,3,0.59,20
成都,2025-02-22,优,24,12,17,22,19,3,0.62,35
成都,2025-02-23,优,39,109,27,34,20,3,0.63,38
成都,2025-02-24,优,24,6,16,24,19,3,0.63,35
成都,2025-02-25,优,30,13,13,21,20,3,0.65,50
成都,2025-02-26,优,40,33,27,40,23,3,0.69,58
成都,2025-02-27,良,69,159,50,69,35,4,0.78,41
成都,2025-02-28,良,79,207,58,77,36,4,0.87,49
成都,2025-03-01,良,84,232,62,85,48,4,0.91,47
成都,2025-03-02,良,78,299,57,82,34,4,0.79,44
成都,2025-03-03,优,45,195,28,45,21,3,0.62,65
成都,2025-03-04,优,32,64,17,30,26,4,0.73,43
成都,2025-03-05,优,38,94,23,33,30,4,0.78,28
成都,2025-03-06,优,32,56,13,25,26,4,0.55,49
成都,2025-03-07,优,37,54,22,37,29,4,0.54,41
成都,2025-03-08,优,33,27,23,33,24,4,0.56,47
成都,2025-03-09,优,50,68,34,51,29,4,0.63,42
成都,2025-03-10,良,65,151,47,68,42,4,0.83,32
成都,2025-03-11,良,69,168,50,68,32,4,0.76,49
成都,2025-03-12,良,84,209,40,118,27,4,0.58,58
成都,2025-03-13,良,62,188,28,74,28,4,0.60,54
成都,2025-03-14,良,55,223,32,60,26,4,0.72,47
成都,2025-03-15,优,33,61,18,30,24,4,0.58,54
成都,2025-03-16,优,41,89,17,41,25,4,0.54,53
成都,2025-03-17,优,39,28,21,39,26,4,0.59,46
成都,2025-03-18,优,39,31,21,39,31,4,0.63,40
成都,2025-03-19,良,52,135,35,54,34,4,0.73,32
成都,2025-03-20,良,58,151,35,57,46,4,0.74,42
成都,2025-03-21,良,54,85,35,58,43,4,0.70,48
成都,2025-03-22,良,66,142,45,73,53,5,0.80,32
成都,2025-03-23,良,59,66,40,68,41,5,0.76,51
成都,2025-03-24,良,52,48,27,53,41,5,0.72,62
成都,2025-03-25,良,65,101,37,68,52,5,0.94,74
成都,2025-03-26,良,90,173,52,85,48,7,0.98,108
成都,2025-03-27,轻度污染,140,286,79,231,34,5,0.75,75
成都,2025-03-28,良,90,248,29,129,14,4,0.53,76
成都,2025-03-29,良,58,206,19,65,16,4,0.57,70
成都,2025-03-30,优,46,158,20,46,20,4,0.61,54
成都,2025-03-31,优,35,58,24,35,28,4,0.70,32
成都,2025-04-01,良,56,150,40,59,31,4,0.80,20
成都,2025-04-02,良,54,118,25,59,25,4,0.63,61
成都,2025-04-03,良,62,131,34,75,39,4,0.77,65
成都,2025-04-04,良,66,116,48,82,32,4,0.80,73
成都,2025-04-05,优,46,36,19,39,17,4,0.59,76
成都,2025-04-06,优,49,52,24,49,25,4,0.66,58
成都,2025-04-07,良,56,60,33,63,28,4,0.75,74
成都,2025-04-08,良,72,152,39,74,35,4,0.83,87
成都,2025-04-09,良,78,214,42,82,43,5,0.92,91
成都,2025-04-10,良,80,233,38,82,35,5,0.83,99
成都,2025-04-11,良,60,104,40,70,25,5,0.75,81
成都,2025-04-12,中度污染,154,217,74,258,17,4,0.47,63
成都,2025-04-13,中度污染,157,266,68,264,28,5,0.58,56
成都,2025-04-14,良,92,225,46,135,50,6,0.83,53
成都,2025-04-15,良,98,277,50,147,44,6,0.78,77
成都,2025-04-16,良,97,244,54,144,40,7,0.74,92
成都,2025-04-17,良,99,270,38,85,24,5,0.67,124
成都,2025-04-18,良,100,274,42,89,35,6,0.77,110
成都,2025-04-19,良,81,204,27,64,16,5,0.54,114
成都,2025-04-20,良,90,290,32,69,27,5,0.70,100
成都,2025-04-21,良,64,212,38,77,26,5,0.61,60
成都,2025-04-22,良,66,251,31,82,22,5,0.53,61
成都,2025-04-23,良,75,246,42,100,21,5,0.49,78
成都,2025-04-24,良,52,137,15,34,17,4,0.39,83
成都,2025-04-25,优,44,79,18,40,20,4,0.45,66
成都,2025-04-26,优,42,58,21,42,20,4,0.46,58
成都,2025-04-27,优,46,103,20,37,24,4,0.50,68
成都,2025-04-28,良,54,165,29,57,38,5,0.60,68
